id,food_group_id,type,name,detail
1,1,Butter, salted,
2,1,Butter, whipped,with salt
3,1,Butter oil, anhydrous,
4,1,Cheese, blue,
5,1,Cheese, brick,
6,1,Cheese, brie,
7,1,Cheese, camembert,
8,1,Cheese, caraway,
9,1,Cheese, cheddar,
10,1,Cheese, cheshire,
11,1,Cheese, colby,
12,1,Cheese, cottage,"creamed, large or small curd"
13,1,Cheese, cottage,"creamed, with fruit"
14,1,Cheese, cottage,"nonfat, uncreamed, dry, large or small curd"
15,1,Cheese, cottage,"lowfat, 2% milkfat"
16,1,Cheese, cottage,"lowfat, 1% milkfat"
17,1,Cheese, cream,
18,1,Cheese, edam,
19,1,Cheese, feta,
20,1,Cheese, fontina,
21,1,Cheese, gjetost,
22,1,Cheese, gouda,
23,1,Cheese, gruyere,
24,1,Cheese, limburger,
25,1,Cheese, monterey,
26,1,Cheese, mozzarella,whole milk
27,1,Cheese, mozzarella,"whole milk, low moisture"
28,1,Cheese, mozzarella,part skim milk
29,1,Cheese, mozzarella,"low moisture, part-skim"
30,1,Cheese, muenster,
31,1,Cheese, neufchatel,
32,1,Cheese, parmesan,grated
33,1,Cheese, parmesan,hard
34,1,Cheese, port de salut,
35,1,Cheese, provolone,
36,1,Cheese, ricotta,whole milk
37,1,Cheese, ricotta,part skim milk
38,1,Cheese, romano,
39,1,Cheese, roquefort,
40,1,Cheese, swiss,
41,1,Cheese, tilsit,
42,1,Cheese, pasteurized process,"American, fortified with vitamin D"
43,1,Cheese, pasteurized process,pimento
44,1,Cheese, pasteurized process,swiss
45,1,Cheese food, cold pack,American
46,1,Cheese food, pasteurized process,"American, vitamin D fortified"
47,1,Cheese food, pasteurized process,swiss
48,1,Cheese spread, pasteurized process,American
49,1,Cream, fluid,half and half
50,1,Cream, fluid,light (coffee cream or table cream)
52,1,Cream, fluid,light whipping
53,1,Cream, fluid,heavy whipping
54,1,Cream, whipped,"cream topping, pressurized"
55,1,Cream, sour,"reduced fat, cultured"
56,1,Cream, sour,cultured
57,1,Eggnog,,
58,1,Sour dressing, non-butterfat,"cultured, filled cream-type"
59,1,Milk, filled,"fluid, with blend of hydrogenated vegetable oils"
